dept,grade,annual_salary,hourly_rate,grade_label
Attorney General's Office,scs,73580,44.99,SCS
Attorney General's Office,g6g7,63100,38.58,Grade 6/Grade 7
Attorney General's Office,seoheo,35040,21.43,SEO/HEO
Attorney General's Office,eo,26680,16.31,EO
Attorney General's Office,aoaa,NA,NA,AO/AA
Attorney General's Office,total,50000,30.57,Unknown
Crown Prosecution Service,scs,92540,56.59,SCS
Crown Prosecution Service,g6g7,54790,33.5,Grade 6/Grade 7
Crown Prosecution Service,seoheo,35710,21.84,SEO/HEO
Crown Prosecution Service,eo,28020,17.13,EO
Crown Prosecution Service,aoaa,21410,13.09,AO/AA
Crown Prosecution Service,total,37220,22.76,Unknown
Crown Prosecution Service Inspectorate,scs,NA,NA,SCS
Crown Prosecution Service Inspectorate,g6g7,61730,37.75,Grade 6/Grade 7
Crown Prosecution Service Inspectorate,seoheo,NA,NA,SEO/HEO
Crown Prosecution Service Inspectorate,eo,NA,NA,EO
Crown Prosecution Service Inspectorate,aoaa,NA,NA,AO/AA
Crown Prosecution Service Inspectorate,total,57760,35.32,Unknown
Government Legal Department,scs,78570,48.04,SCS
Government Legal Department,g6g7,57800,35.34,Grade 6/Grade 7
Government Legal Department,seoheo,37360,22.84,SEO/HEO
Government Legal Department,eo,26910,16.45,EO
Government Legal Department,aoaa,23270,14.23,AO/AA
Government Legal Department,total,51240,31.33,Unknown
Serious Fraud Office,scs,88340,54.02,SCS
Serious Fraud Office,g6g7,58390,35.7,Grade 6/Grade 7
Serious Fraud Office,seoheo,36220,22.15,SEO/HEO
Serious Fraud Office,eo,26410,16.15,EO
Serious Fraud Office,aoaa,23490,14.36,AO/AA
Serious Fraud Office,total,40000,24.46,Unknown
"Department for Business, Energy and Industrial Strategy (excl. agencies)",scs,74810,45.74,SCS
"Department for Business, Energy and Industrial Strategy (excl. agencies)",g6g7,56310,34.43,Grade 6/Grade 7
"Department for Business, Energy and Industrial Strategy (excl. agencies)",seoheo,37080,22.67,SEO/HEO
"Department for Business, Energy and Industrial Strategy (excl. agencies)",eo,27020,16.52,EO
"Department for Business, Energy and Industrial Strategy (excl. agencies)",aoaa,24300,14.86,AO/AA
"Department for Business, Energy and Industrial Strategy (excl. agencies)",total,47800,29.23,Unknown
"Advisory, Conciliation and Arbitration Service",scs,82730,50.59,SCS
"Advisory, Conciliation and Arbitration Service",g6g7,56000,34.24,Grade 6/Grade 7
"Advisory, Conciliation and Arbitration Service",seoheo,33390,20.42,SEO/HEO
"Advisory, Conciliation and Arbitration Service",eo,22770,13.92,EO
"Advisory, Conciliation and Arbitration Service",aoaa,20180,12.34,AO/AA
"Advisory, Conciliation and Arbitration Service",total,29270,17.9,Unknown
Companies House,scs,76240,46.62,SCS
Companies House,g6g7,55020,33.64,Grade 6/Grade 7
Companies House,seoheo,37720,23.06,SEO/HEO
Companies House,eo,25770,15.76,EO
Companies House,aoaa,21000,12.84,AO/AA
Companies House,total,23550,14.4,Unknown
Insolvency Service,scs,90200,55.15,SCS
Insolvency Service,g6g7,56960,34.83,Grade 6/Grade 7
Insolvency Service,seoheo,38310,23.43,SEO/HEO
Insolvency Service,eo,25710,15.72,EO
Insolvency Service,aoaa,20470,12.52,AO/AA
Insolvency Service,total,29070,17.78,Unknown
Met Office,scs,80950,49.5,SCS
Met Office,g6g7,47540,29.07,Grade 6/Grade 7
Met Office,seoheo,38870,23.77,SEO/HEO
Met Office,eo,25120,15.36,EO
Met Office,aoaa,20250,12.38,AO/AA
Met Office,total,38870,23.77,Unknown
UK Intellectual Property Office,scs,73250,44.79,SCS
UK Intellectual Property Office,g6g7,59720,36.52,Grade 6/Grade 7
UK Intellectual Property Office,seoheo,39540,24.18,SEO/HEO
UK Intellectual Property Office,eo,26920,16.46,EO
UK Intellectual Property Office,aoaa,21140,12.93,AO/AA
UK Intellectual Property Office,total,34590,21.15,Unknown
UK Space Agency,scs,74350,45.46,SCS
UK Space Agency,g6g7,52300,31.98,Grade 6/Grade 7
UK Space Agency,seoheo,36340,22.22,SEO/HEO
UK Space Agency,eo,24100,14.74,EO
UK Space Agency,aoaa,NA,NA,AO/AA
UK Space Agency,total,41640,25.46,Unknown
Cabinet Office (excl. agencies),scs,81590,49.89,SCS
Cabinet Office (excl. agencies),g6g7,54470,33.31,Grade 6/Grade 7
Cabinet Office (excl. agencies),seoheo,32000,19.57,SEO/HEO
Cabinet Office (excl. agencies),eo,26000,15.9,EO
Cabinet Office (excl. agencies),aoaa,19890,12.16,AO/AA
Cabinet Office (excl. agencies),total,36970,22.61,Unknown
Crown Commercial Service,scs,81100,49.59,SCS
Crown Commercial Service,g6g7,55000,33.63,Grade 6/Grade 7
Crown Commercial Service,seoheo,34800,21.28,SEO/HEO
Crown Commercial Service,eo,22640,13.84,EO
Crown Commercial Service,aoaa,18870,11.54,AO/AA
Crown Commercial Service,total,34800,21.28,Unknown
Government in Parliament,scs,78500,48,SCS
Government in Parliament,g6g7,55580,33.99,Grade 6/Grade 7
Government in Parliament,seoheo,34000,20.79,SEO/HEO
Government in Parliament,eo,26970,16.49,EO
Government in Parliament,aoaa,22650,13.85,AO/AA
Government in Parliament,total,66700,40.79,Unknown
Government Property Agency,scs,80280,49.09,SCS
Government Property Agency,g6g7,52550,32.13,Grade 6/Grade 7
Government Property Agency,seoheo,34140,20.88,SEO/HEO
Government Property Agency,eo,25940,15.86,EO
Government Property Agency,aoaa,NA,NA,AO/AA
Government Property Agency,total,47340,28.95,Unknown
Government Actuary's Department,scs,NA,NA,SCS
Government Actuary's Department,g6g7,80820,49.42,Grade 6/Grade 7
Government Actuary's Department,seoheo,39000,23.85,SEO/HEO
Government Actuary's Department,eo,27540,16.84,EO
Government Actuary's Department,aoaa,21440,13.11,AO/AA
Government Actuary's Department,total,57360,35.07,Unknown
National Savings and Investments,scs,94930,58.05,SCS
National Savings and Investments,g6g7,55990,34.24,Grade 6/Grade 7
National Savings and Investments,seoheo,40620,24.84,SEO/HEO
National Savings and Investments,eo,30600,18.71,EO
National Savings and Investments,aoaa,23550,14.4,AO/AA
National Savings and Investments,total,45210,27.64,Unknown
Charity Commission,scs,87160,53.3,SCS
Charity Commission,g6g7,51870,31.72,Grade 6/Grade 7
Charity Commission,seoheo,29620,18.11,SEO/HEO
Charity Commission,eo,23680,14.48,EO
Charity Commission,aoaa,19070,11.66,AO/AA
Charity Commission,total,28260,17.28,Unknown
"Ministry of Housing, Communities and Local Government (excl. agencies)",scs,74180,45.36,SCS
"Ministry of Housing, Communities and Local Government (excl. agencies)",g6g7,52610,32.17,Grade 6/Grade 7
"Ministry of Housing, Communities and Local Government (excl. agencies)",seoheo,34090,20.85,SEO/HEO
"Ministry of Housing, Communities and Local Government (excl. agencies)",eo,27310,16.7,EO
"Ministry of Housing, Communities and Local Government (excl. agencies)",aoaa,26340,16.11,AO/AA
"Ministry of Housing, Communities and Local Government (excl. agencies)",total,38820,23.74,Unknown
Planning Inspectorate,scs,104000,63.59,SCS
Planning Inspectorate,g6g7,57940,35.43,Grade 6/Grade 7
Planning Inspectorate,seoheo,34350,21,SEO/HEO
Planning Inspectorate,eo,27120,16.58,EO
Planning Inspectorate,aoaa,22230,13.59,AO/AA
Planning Inspectorate,total,42880,26.22,Unknown
Queen Elizabeth II Centre,scs,NA,NA,SCS
Queen Elizabeth II Centre,g6g7,72000,44.03,Grade 6/Grade 7
Queen Elizabeth II Centre,seoheo,38400,23.48,SEO/HEO
Queen Elizabeth II Centre,eo,29080,17.78,EO
Queen Elizabeth II Centre,aoaa,25850,15.81,AO/AA
Queen Elizabeth II Centre,total,33950,20.76,Unknown
Competition and Markets Authority,scs,98970,60.52,SCS
Competition and Markets Authority,g6g7,61650,37.7,Grade 6/Grade 7
Competition and Markets Authority,seoheo,34370,21.02,SEO/HEO
Competition and Markets Authority,eo,27100,16.57,EO
Competition and Markets Authority,aoaa,22190,13.57,AO/AA
Competition and Markets Authority,total,54710,33.45,Unknown
"Department for Digital, Culture, Media and Sport",scs,75300,46.04,SCS
"Department for Digital, Culture, Media and Sport",g6g7,54350,33.23,Grade 6/Grade 7
"Department for Digital, Culture, Media and Sport",seoheo,33470,20.47,SEO/HEO
"Department for Digital, Culture, Media and Sport",eo,25720,15.73,EO
"Department for Digital, Culture, Media and Sport",aoaa,23220,14.2,AO/AA
"Department for Digital, Culture, Media and Sport",total,50350,30.79,Unknown
Ministry of Defence,scs,80000,48.92,SCS
